P_N,implied,actual,n,edge_pts
"(0.0, 0.2]",0.1162326309904761,0.07352941176470588,136,-4.270321922577021
"(0.2, 0.35]",0.2782283070243551,0.3191489361702128,188,4.09206291458577
"(0.35, 0.5]",0.41897548287492764,0.45021645021645024,231,3.1240967341522596
"(0.5, 0.65]",0.5810245171250724,0.5584415584415584,231,-2.258295868351401
"(0.65, 0.8]",0.721771692975645,0.6914893617021277,188,-3.0282331273517316
"(0.8, 1.01]",0.8837673690095239,0.9338235294117647,136,5.005616040224082
