RUNNER_NAME,games,exp_wins,actual,WAE
Canberra,22,12.554,18,5.446
NZ Warriors,22,11.125,13,1.875
Parramatta,21,7.655,9,1.345
Brisbane,23,14.849,16,1.151
South Sydney,21,6.497,7,0.503
Dolphins,21,10.802,11,0.198
Wests Tigers,23,8.956,9,0.044
Penrith,21,13.226,13,-0.226
Manly,22,12.227,12,-0.227
Canterbury,20,12.325,12,-0.325
North Qld,20,8.392,8,-0.392
Sydney,21,10.472,10,-0.472
Newcastle,22,7.752,6,-1.752
Melbourne,22,15.787,14,-1.787
Gold Coast,21,7.99,5,-2.99
